SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523369,DCM SHR.IND ,X ,Q,259.70,261.00,242.00,246.45,246.45,253.85,221,11533,2909492.00,
523371,MAWANA SUGAR,B ,Q,66.85,67.40,64.15,65.05,65.35,65.20,273,27618,1820333.00,
523373,MINI DIAMOND,XT,Q,10.29,10.50,10.29,10.29,10.29,10.50,4,700,7205.00,
523384,MAH.RAS.APEX,T ,Q,176.55,180.60,174.00,176.90,176.10,172.00,94,13298,2373696.00,
523385,NILKAMAL L  ,A ,Q,1773.95,1832.75,1773.95,1808.60,1809.25,1763.30,820,4489,8093810.00,
523387,TRITON CORP.,ST,Q,0.35,0.35,0.34,0.34,0.34,0.35,4,11900,4056.00,
523391,NAHAR POLY  ,B ,Q,69.60,70.80,68.40,69.75,69.00,70.40,146,14075,977255.00,
523395,3M INDIA LTD,B ,Q,18915.00,22563.95,18915.00,21698.75,21698.75,18803.30,1094,3071,67034077.00,
523398,JCHAC       ,B ,Q,2315.90,2340.00,2310.00,2318.95,2339.75,2307.95,48,368,856457.00,
523405,JM FINANCIAL,A ,Q,152.00,156.80,151.00,153.75,153.85,150.75,1019,96484,14898474.00,
523411,ADCINDIA    ,X ,Q,231.10,244.75,218.10,235.70,235.70,237.75,45,1955,452756.00,
523415,COVENTRY COI,XT,Q,3.55,3.55,3.55,3.55,3.55,3.39,3,300,1065.00,
523419,TAMIL.TELE. ,T ,Q,2.95,2.95,2.90,2.90,2.90,2.81,4,2009,5876.00,
523445,REL INDL INF,B ,Q,484.00,509.90,484.00,494.75,494.75,477.40,4148,170210,84798199.00,
523449,SHARP INDIA ,XT,Q,49.40,49.40,49.40,49.40,49.40,52.00,1,50,2470.00,
523457,LINDEINDIA  ,A ,Q,520.00,532.95,520.00,530.25,530.25,516.05,80,1053,555254.00,
523465,IND.BANK HSG,XT,Q,48.00,50.90,47.55,48.85,47.55,49.80,36,1901,92992.00,
523467,JAIMATA GLAS,XT,Q,0.25,0.25,0.25,0.25,0.25,0.26,9,17458,4364.00,
523475,LOTUS CHOC  ,XT,Q,51.80,51.80,47.25,50.05,50.00,49.35,48,36946,1776321.00,
523483,PACIFIC IND.,X ,Q,145.00,174.85,142.05,148.60,147.25,154.00,16,724,113106.00,
523489,CMM HOSPITAL,XT,Q,31.70,31.70,30.75,30.75,30.75,31.35,45,18305,570900.00,
523519,UNI OFF AUTO,XT,Q,2.60,2.86,2.60,2.86,2.86,2.73,4,628,1649.00,
523523,RAINBOW PAP.,T ,Q,3.37,3.37,3.07,3.18,3.20,3.23,30,24922,81576.00,
523537,APM INDUS.  ,X ,Q,62.30,64.00,61.55,62.45,63.45,62.30,27,2107,131768.00,
523539,PRECISION WR,B ,Q,283.50,324.30,275.20,321.05,321.05,270.25,2491,161296,50446216.00,
523566,MARTIN BURN ,X ,Q,44.00,44.00,44.00,44.00,44.00,40.05,1,50,2200.00,
523574,FEL         ,B ,Q,41.50,47.85,41.50,44.35,44.35,41.85,2049,453090,20485497.00,
523586,IND.TONERS  ,X ,Q,287.00,296.95,287.00,293.60,294.50,286.70,203,7125,2086564.00,
523592,JENSON &NICH,T ,Q,5.09,5.32,5.09,5.10,5.10,5.35,11,4500,23045.00,
523594,KUNSTSTOFFE ,XT,Q,34.30,36.05,34.25,35.10,35.00,36.05,26,4739,163596.00,
523598,SHIPP.CORPN ,A ,Q,78.00,86.60,78.00,85.50,85.50,77.50,4346,769110,64367491.00,
523606,SIKA INTER. ,XT,Q,185.95,186.10,182.35,186.10,186.10,177.25,37,2961,548805.00,
523610,ITI LTD.    ,B ,Q,109.00,120.00,106.00,117.10,117.10,104.60,3509,345912,39492031.00,
523618,DREDGING COR,B ,Q,730.05,739.00,710.00,713.75,713.75,709.00,1768,50689,36621945.00,
523620,PHARMASIA   ,XT,Q,47.40,47.40,47.35,47.40,47.40,46.50,22,2439,115603.00,
523628,PODDAR      ,B ,Q,1147.95,1148.00,1147.95,1148.00,1148.00,1151.80,12,13,14923.00,
523630,NATIONAL FER,B ,Q,65.65,68.25,65.65,67.05,67.05,65.25,996,186580,12518317.00,
523638,IP RINGS LTD,X ,Q,207.15,207.15,199.15,204.15,205.65,197.35,85,8849,1809292.00,
523642,PI INDUS.LTD,A ,Q,810.05,850.00,802.20,843.20,850.00,809.80,616,11768,9713852.00,
523648,PLASTIBLEND ,B ,Q,207.00,213.00,199.90,210.20,209.40,200.75,232,9336,1942553.00,
523652,KKPLASTICK  ,XT,Q,5.37,5.37,5.37,5.37,5.37,5.12,1,200,1074.00,
523660,WATERBASE   ,X ,Q,338.00,368.00,331.45,332.20,332.20,368.25,12833,854390,294273066.00,
523672,FLEX FOODS  ,X ,Q,137.75,139.00,136.00,137.05,137.05,135.30,146,8355,1148128.00,
